Number of hit	Text ID	Context before	Query item	Context after	URL	Matchbegin corpus position	Matchend corpus position
3413	nyt_eng_19940821_0003	in the 1993 bombing of the World Trade Center . Sheikh Omar Abdul Rachman was a known member of an	extremist	group in Egypt when he was admitted to the United States , where he was later convicted as the leader	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3412	949147795	949147795
3414	nyt_eng_19940821_0003	part : `` The events of Sept. 11 serve as a cruel reminder of the continuing threat from terrorists and	extremist	groups to Americans and American interests worldwide . This situation remains fluid , and American citizens should be aware of	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3413	949155690	949155690
3415	nyt_eng_19940821_0003	founder in 1953 by four of his sons in succession , has done an effective job of keeping Saudis with	extremist	views in check . There was an uprising in Mecca in 1979 , but 63 beheadings have discouraged violent opposition	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3414	949293496	949293496
3416	nyt_eng_19940821_0003	are being questioned by the anti-terrorism unit at Scotland Yard . French police arrested seven people suspected of belonging to	extremist	Islamic groups because investigators believe were planning attacks on American interests there . German authorities announced they were seeking two	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3415	949381652	949381652
3417	nyt_eng_19940821_0003	press for U.N. Security Council backing for any military action . `` If you really want an antidote to the	extremist	atmosphere the terrorists feed on , catch whoever is responsible and bring him to trial , '' said Axworthy ,	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3416	949665638	949665638
3418	nyt_eng_19940821_0003	League . . Egyptians who know him describe him as a smart but cautious man with an extraordinary dedication to	extremist	causes . `` He believes that attention brings trouble , '' said Montasser al-Zayat , a lawyer for Egypt 's	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3417	949932077	949932077
3419	nyt_eng_19940821_0003	worthy of a first-rate spy _ concealing from his family , girlfriend , and friends that he was a Muslim	extremist	, not the religiously moderate , pro-American , fun-loving person they knew him to be . `` It makes no	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3418	950410643	950410643
3420	nyt_eng_19940821_0003	embassies in Kenya and Tanzania revealed that Al Qaeda members were told to mingle with Westerners , and conceal their	extremist	beliefs . And terrorism specialists say that the practice of presenting one persona to the world , and keeping another	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3419	950411198	950411198
3421	nyt_eng_19940821_0003	Muslim population of about 80,000 , according to the German Office for the Protection of the Constitution , which monitors	extremist	groups . Al Qaeda has members in the city , as does the Palestine group Hamas . But if Jarrah	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3420	950412025	950412025
3422	nyt_eng_19940821_0003	last week 's steep declines , defying the threat of a U.S.-led war against bin Laden , a wealthy Saudi-born	extremist	living in Afghanistan , and other terrorists . -- Bush 's overall job approval rating reached 90 percent in a	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3421	950429114	950429114
3423	nyt_eng_19940821_0003	pulled into the culture of martyrdom in their early youth , he said . While Islam forbids suicide , some	extremist	groups have cast suicide bombers as martyrs for religious glory . Andrew Silke , a psychologist who specializes in terrorism	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3422	950647959	950647959
3424	nyt_eng_19940821_0003	practice their own exclusionary , religion-based social order . In many ways , American racial radicals mirror the intolerant ,	extremist	groups you see on the international scene . '' Not everyone in the Far Right supports the terrorists who attacked	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3423	950687361	950687361
3425	nyt_eng_19940821_0003	practice their own exclusionary , religion-based social order . In many ways , American racial radicals mirror the intolerant ,	extremist	groups you see on the international scene . '' Not everyone in the Far Right supports the terrorists who attacked	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3424	950689163	950689163
3426	nyt_eng_19940821_0003	national commitment . Nowhere is this truer than in Sudan . Sudan 's ongoing agony is simply unimaginable . The	extremist	National Islamic Front regime in Khartoum has for more than a decade waged a brutal war against Christians and other	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3425	950718456	950718456
3427	nyt_eng_19940821_0003	target for terrorists . On a refrigerator in the station house was an FBI `` Wanted '' poster for Muslim	extremist	Osama bin Laden . Someone had written an epithet on the poster that pretty well summed up attitudes around the	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3426	950920744	950920744
3428	nyt_eng_19940821_0003	practice their own exclusionary , religion-based social order . In many ways , American racial radicals mirror the intolerant ,	extremist	groups you see on the international scene . '' Not everyone in the Far Right supports the terrorists who attacked	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3427	951057133	951057133
3429	nyt_eng_19940821_0003	target for terrorists . On a refrigerator in the station house was an FBI `` Wanted '' poster for Muslim	extremist	Osama bin Laden . Someone had written an epithet on the poster that pretty well summed up attitudes around the	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3428	951104963	951104963
3430	nyt_eng_19940821_0003	were on the ground , they could have been arrested for what they did . '' Critics of militias say	extremist	groups are seizing on the crisis as an opportunity to disseminate racist and anti-Semitic ideas . `` I think obviously	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3429	951115624	951115624
3431	nyt_eng_19940821_0003	's relatives , members of one of Saudi Arabia 's richest families , have publicly disowned him and renounced his	extremist	views and his Al Qaeda terror organization , which advocates the killing of Americans in a jihad , or holy	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3430	951198724	951198724
3432	nyt_eng_19940821_0003	the coming weeks would derail the peace process . Some Israeli officials , including Peres , say that formula gives	extremist	groups virtual veto power over any agreement . One such militant Muslim group , Hamas , said after the announcement	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3431	951298860	951298860
3433	nyt_eng_19940821_0003	Center after his remarks , seeing firsthand the nerve center responsible for locating Osama bin Laden , the reclusive Muslim	extremist	who is blamed by the United States for orchestrating the Sept. 11 attacks . Bin Laden has been sighted most	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3432	951355832	951355832
3434	nyt_eng_19940821_0003	Filed By Cox Newspapers With hundreds of protesters burning U.S. flags outside the gates of the U.S. embassy and with	extremist	groups threatening to kill Americans , the State Department said on Thursday that most of the embassy staff could leave	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3433	951672455	951672455
3435	nyt_eng_19940821_0003	chose . Despite the government 's stated support for the United States following the terror attacks there this month ,	extremist	Islamic groups have staged demonstrations in several cities and have vowed to take revenge if the United States attacks a	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3434	951672500	951672500
3436	nyt_eng_19940821_0003	in the United States had raised security concerns here significantly . In an earlier statement , it said , ``	Extremist	elements may be planning to target United States interests in Indonesia . '' Gelbard said last week that Osama bin	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3435	951672866	951672866
3437	nyt_eng_19940821_0003	capital of Afghanistan , but it 's not a `` destination '' city unless you 're some sort of anti-American	extremist	or you 're strapped into the cockpit of a U.S. warplane . Landlocked Afghanistan does n't have an ocean ,	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3436	951945505	951945505
3438	nyt_eng_19940821_0003	standards allow dozens of terrorist fronts to operate in that country unfettered . Many of the organizations , including Islamic	extremist	groups , have obtained charitable status _ and Canadian citizens who contribute to their causes are able to deduct the	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3437	952006486	952006486
3439	nyt_eng_19940821_0003	They heard what I said . And now they can act , '' Bush declared . Bush reiterated that the	extremist	Islamic regime must surrender bin Laden , `` everybody associated with his organization '' in Afghanistan as well as any	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3438	952068890	952068890
3440	nyt_eng_19940821_0003	States has made many mistakes in the Mideast over the past 30 years , among them the arming of other	extremist	Arabs to fight Soviet troops in Afghanistan , the refusal to topple Saddam Hussein after the Gulf War -LRB- necessitating	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3439	952158660	952158660
3441	nyt_eng_19940821_0003	high school . I 'm ashamed to say I remember thinking something along the lines that he was a wacko	extremist	. My friends believed his conversion was an excuse to dodge the draft . I did n't take the time	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3440	952171237	952171237
3442	nyt_eng_19940821_0003	the other factors that serious thinking about combating terrorism must eventually confront . Meanwhile , are there counterparts to those	extremist	ideologues ? Are there Muslim thinkers and scholars immersed in their faith and its tradition , sensitive to the frustrations	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3441	952180307	952180307
3443	nyt_eng_19940821_0003	Democrats want . - The State Department issued a worldwide caution warning Americans they could still be in danger from	extremist	groups . `` We have continuing concern based on threatening rhetoric ... and the potential for further terrorist actions ...	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3442	952192053	952192053
3444	nyt_eng_19940821_0003	and capabilities . Bin Laden 's great achievement within the terrorist world has been to forge alliances with other Islamic	extremist	groups under the umbrella of al-Qaeda , providing them financing , training and a sanctuary in Afghanistan , while encouraging	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3443	952470864	952470864
3445	nyt_eng_19940821_0003	, with plots stored on CD-ROMs and cell phones to move money and men . To the Taliban , the	extremist	Islamic clerics who have ruled Afghanistan and given him haven since 1996 , he is a friend , a spiritual	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3444	952472553	952472553
3446	nyt_eng_19940821_0003	the university the perfect place to spend a year and write his book False Dawn : Afghanistan and the Islamic	Extremist	Challenge . He has the outline completed , and the first paragraph . `` It 'd be a best seller	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3445	952539574	952539574
3447	nyt_eng_19940821_0003	, and thus the election . Despite that bitterly controversial case , Garrow said Rehnquist gradually had shed the ``	extremist	'' label that Sen. Ted Kennedy , D-Mass . , stuck on him in 1986 during his confirmation hearings for	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3446	952695543	952695543
3448	nyt_eng_19940821_0003	officials said Powell 's comments were intended to be conciliatory . The Islamic Republic of Iran considers the Taliban an	extremist	movement that gives Islam a bad name . For several years , Iran has supplied anti-Taliban guerrillas in the north	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3447	952802515	952802515
3449	nyt_eng_19940821_0003	of Americans overseas , '' the warning said . It said the fears were `` based on threatening rhetoric from	extremist	groups and the potential for further terrorist actions against American citizens and interests . '' Ashcroft is pushing Congress to	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3448	952808514	952808514
3450	nyt_eng_19940821_0003	access to the keys of mass destruction . The Internet has enabled societal fringe groups , religious cults , and	extremist	political organizations , traditionally geographically confined , to build large organizational networks , exchange information , and combine resources .	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3449	953068637	953068637
3451	nyt_eng_19940821_0003	access to the keys of mass destruction . The Internet has enabled societal fringe groups , religious cults , and	extremist	political organizations , traditionally geographically confined , to build large organizational networks , exchange information , and combine resources .	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3450	953072127	953072127
3452	nyt_eng_19940821_0003	between 20,000 and 30,000 people dead . The country 's culture minister was assassinated Sept. 9 and government forces and	extremist	Islamic rebels clashed outside the city this summer . They also say U.S. attacks against the Taliban could lead to	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3451	953100217	953100217
3453	nyt_eng_19940821_0003	not only on bin Laden but also on the Taliban government of Afghanistan , which has sheltered the wealthy Islamic	extremist	since it came to power in1996 . The president said the United States has made `` good progress '' so	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3452	953159519	953159519
3454	nyt_eng_19940821_0003	own midst . Many have long assumed that an upheaval was inevitable , with moderate Islam battling the religion 's	extremist	, intolerant version . This confrontation is better fought now than later , they say . `` If there is	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3453	953211198	953211198
3455	nyt_eng_19940821_0003	than hostility toward Westerners since the attacks . A much-publicized fatwa , or decree , from a small group of	extremist	clerics declaring holy war on Americans in the event Afghanistan is invaded produced furious public criticism and embarrassment . But	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3454	953307177	953307177
3456	nyt_eng_19940821_0003	the West Bank and Gaza , Saudi Arabia and nearby Lebanon , it too might be caught up in the	extremist	religious fervor that cast a pall of death on the United States and may bring catastrophe to Afghanistan . Among	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3455	953307231	953307231
3457	nyt_eng_19940821_0003	his deportation order , Ressam left Canada in 1998 , allegedly for a training camp run by the exiled Saudi	extremist	Osama bin Laden . Ressam returned to Canada in 1999 . In December 1999 , he was arrested at the	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3456	953470840	953470840
3458	nyt_eng_19940821_0003	, the Bush administration quickly rejected the call for negotiations for the surrender of bin Laden , a wealthy Saudi-born	extremist	long allied with the Taliban Islamic regime . `` The president could not have made it any clearer two weeks	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3457	953500313	953500313
3459	nyt_eng_19940821_0003	his deportation order , Ressam left Canada in 1998 , allegedly for a training camp run by the exiled Saudi	extremist	Osama bin Laden . Ressam returned to Canada in 1999 . In December 1999 , he was arrested at the	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3458	953600370	953600370
3460	nyt_eng_19940821_0003	be cautious . `` United States citizens and interests abroad continue to be at increased risk of terrorist actions from	extremist	groups , '' the department said in a public announcement . Agency spokesmen declined to elaborate , but in Italy	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3459	953640074	953640074
3461	nyt_eng_19940821_0003	an effort to help break the deadlock that could trigger a U.S. attack . Meanwhile , the war-torn country 's	extremist	rulers appealed to rich Muslims to send money to support their fight against the West , even as there were	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3460	953783179	953783179
3462	nyt_eng_19940821_0003	the only country on Ressam 's trail . French terrorism investigators in April 1999 sought Canadian help in investigating an	extremist	group . The French wanted Ressam . Ressam , apparently unaware of his pursuers , had other problems . His	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3461	953833341	953833341
3463	nyt_eng_19940821_0003	the only country on Ressam 's trail . French terrorism investigators in April 1999 sought Canadian help in investigating an	extremist	group . The French wanted Ressam . Ressam , apparently unaware of his pursuers , had other problems . His	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3462	953838729	953838729
3464	nyt_eng_19940821_0003	had planned in an effort to help break the deadlock over the fate of Osama bin Laden . Afghanistan 's	extremist	rulers appealed to rich Muslims to send money to support their fight against the West , renewing their vows of	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3463	953851975	953851975
3465	nyt_eng_19940821_0003	on the bill . Shortly after the attacks in the United States , the police arrested the leader of an	extremist	group who had praised the attacks at a public rally . In Hungary , authorities confined at least 812 Afghans	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3464	953874855	953874855
3466	nyt_eng_19940821_0003	there is an atmosphere of more severe control of asylum seekers and other foreigners , '' he said . The	extremist	arrested in the Czech Republic , Jan Kopal , the chairman of the fringe National Social Bloc , was charged	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3465	953875004	953875004
3467	nyt_eng_19940821_0003	an effort to help break the deadlock that could trigger a U.S. attack . Meanwhile , the war-torn country 's	extremist	rulers appealed to rich Muslims to send money to support their fight against the West , even as there were	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3466	953880396	953880396
3468	nyt_eng_19940821_0003	had planned in an effort to help break the deadlock over the fate of Osama bin Laden . Afghanistan 's	extremist	rulers appealed to rich Muslims to send money to support their fight against the West , renewing their vows of	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3467	953930731	953930731
3469	nyt_eng_19940821_0003	any strike on bin Laden or his host country , there is little doubt that students of Haqqania and other	extremist	madrassas will cross into Afghanistan to fight alongside the Taliban , or even attack US targets inside Pakistan . The	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3468	953940195	953940195
3470	nyt_eng_19940821_0003	the only country on Ressam 's trail . French terrorism investigators in April 1999 sought Canadian help in investigating an	extremist	group . The French wanted Ressam . Ressam , apparently unaware of his pursuers , had other problems . His	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3469	954146172	954146172
3471	nyt_eng_19940821_0003	forward to relieve the Bush administration of carrying the sole burden in making the public case against the Saudi-born Islamic	extremist	and his al-Qaeda organization , who are accused of planning and executing the worst act of terror in American history	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3470	954247319	954247319
3472	nyt_eng_19940821_0003	. But their words have not swayed the perceptions of the Arab young _ the most fertile recruiting ground of	extremist	organizations such as Osama bin Laden 's al Qaeda network . In demonstrations across the Arab crescent , a radicalized	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3471	954391004	954391004
3473	nyt_eng_19940821_0003	as the Council on American Islamic Relations and the American Muslim Council , have been accused of having ties to	extremist	groups , though leaders deny those connections . After Sept. 11 , some Muslim critics of U.S. policy admitted to	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3472	954660878	954660878
3474	nyt_eng_19940821_0003	, afflicted with failing educational institutions , burdened with staggering debt , beleaguered by sectarian violence and the rise of	extremist	groups that share bin Laden 's political goals as well as the social agenda of the misogynous Taliban next door	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3473	954741641	954741641
3475	nyt_eng_19940821_0003	for U.S. military action against the Taliban regime of Afghanistan , which is harboring Osama bin Laden , an Islamic	extremist	suspected of masterminding the Sept. 11 terrorist attacks on America . Turkey was his last stop before returning to the	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3474	954777212	954777212
3476	nyt_eng_19940821_0003	pressed for peace in hopes of coaxing Arab nations into the coalition against Osama bin Laden , the Saudi-born Islamic	extremist	believed to be the instigator and coordinator of last month 's terror . After enthusiastically endorsing the coalition , Sharon	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3475	954860483	954860483
3477	nyt_eng_19940821_0003	of Rawalpindi , next door to the national capital , the largest anti-US demonstration to date . Organized by Muslim	extremist	groups , the American flag-burning crowd -- for all its fury -- was not seen as especially representative of mainstream	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3476	954885932	954885932
3478	nyt_eng_19940821_0003	a French intelligence agency warned the bureau in a classified two-page cable on Aug. 27 that Moussaoui had `` Islamic	extremist	beliefs . '' Other law enforcement officials said the information about Moussaoui was also reviewed by a counter-terrorism panel before	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3477	954899177	954899177
3479	nyt_eng_19940821_0003	outlook who have much to lose from Muslim extremism . Pipes says that the world faces a new ideology in	extremist	Islam that is very different from historical Islam , even at its most imperialistic , and that is most immediately	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3478	955027960	955027960
3480	nyt_eng_19940821_0003	outlook who have much to lose from Muslim extremism . Pipes says that the world faces a new ideology in	extremist	Islam that is very different from historical Islam , even at its most imperialistic , and that is most immediately	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3479	955029624	955029624
3481	nyt_eng_19940821_0003	FBI asked the CIA and French intelligence officials for information about Moussaoui . French intelligence reported back that he had	extremist	beliefs and some troubling connections . Indeed , a French antiterrorist task force had an open file on him ,	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3480	955073234	955073234
3482	nyt_eng_19940821_0003	States . The report also says that 50-caliber rifles have been confiscated from drug dealers , bank robbers and American	extremist	groups , including the Branch Davidians . The events of Sept. 11 , Waxman said in an interview , showed	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3481	955089942	955089942
3483	nyt_eng_19940821_0003	FBI asked the CIA and French intelligence officials for information about Moussaoui . French intelligence reported back that he had	extremist	beliefs and some troubling connections . Indeed , a French antiterrorist task force had an open file on him ,	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3482	955160879	955160879
3484	nyt_eng_19940821_0003	of the Internet , the prevalence of television and radio , and the better organization of political parties . The	extremist	view is fueled , he said , by both the continuing crises in Pakistan 's government and economy and the	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3483	955178935	955178935
3485	nyt_eng_19940821_0003	like for the family to grapple over many years with the transformation of one of their own into a dangerous	extremist	. `` It is my understanding that in the early 1990s the family repeatedly reached out and made attempts to	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3484	955193696	955193696
3486	nyt_eng_19940821_0003	agree more . `` We have to encourage moderate theology backed up by love and compassion and forgiveness _ not	extremist	interpretations backed up with rage and anger and wrath , '' he said . sh1 Fundamentalism 's birthplace Hai ,	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3485	955281232	955281232
3487	nyt_eng_19940821_0003	, blames much of the world 's Islamic fundamentalism on Saudi Arabia , whose oil - rich clerics preach an	extremist	form of the Muslim faith known as Wahhabism . This harsh , puritanical brand of Islam was born in Arabia	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3486	955281282	955281282
3488	nyt_eng_19940821_0003	for all human rights . At Atlanta 's Emory University last week , Muslim women students claimed that Atta 's	extremist	writings betray an ignorance of the Quran , which speaks to equal respect between women and men . In addition	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3487	955298527	955298527
3489	nyt_eng_19940821_0003	network . Nor did Bush immediately respond to the videotaped remarks by bin Laden , in which the exiled Saudi	extremist	celebrated the September 11 attacks on the United States and vowed to expel Jews from Palestine . Fleischer said he	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3488	955448930	955448930
3490	nyt_eng_19940821_0003	the attacks , vowed that `` America will not live in peace '' as long as the goals of his	extremist	Islamic group remain unmet . `` Here is America struck by Almighty God in one of its vital organs ,	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3489	955487889	955487889
3491	nyt_eng_19940821_0003	the attacks , vowed that `` America will not live in peace '' as long as the goals of his	extremist	Islamic group remain unmet . `` Here is America struck by Almighty God in one of its vital organs ,	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3490	955579992	955579992
3492	nyt_eng_19940821_0003	, who have been receiving humanitarian aid from the United Nations and who are under control of a totalitarian ,	extremist	regime . A civil war has been raging there , and the Taliban 's control could be tenuous . Before	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3491	955702520	955702520
3493	nyt_eng_19940821_0003	other chemical storage tanks , he said . They have been confiscated from drug dealers , bank robbers and American	extremist	groups , including the Branch Davidians , the report said . But Smith said that Diaz and the Violence Policy	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3492	955765629	955765629
3494	nyt_eng_19940821_0003	condemned the attacks , but in milder tones , expressing Iran 's concerns that such military operations could `` provoke	extremist	reactions . '' `` We stressed from the beginning that terrorism can not be eradicated through military actions , ''	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3493	955814125	955814125
3495	nyt_eng_19940821_0003	enjoy our freedom . That 's what it 's all about . But we are not out to destroy this	extremist	menace so that Israel will be free to build more settlements or to eat up more Palestinian land . Today	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3494	955857508	955857508
3496	nyt_eng_19940821_0003	businesses . In the North-West Frontier Province , where ethnic and cultural ties to Afghanistan are strong , and two	extremist	religious leaders sponsor hundreds of radical Islamic schools , the US strikes sparked three anti-US demonstrations , including two that	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3495	955921557	955921557
3497	nyt_eng_19940821_0003	enjoy our freedom . That 's what it 's all about . But we are not out to destroy this	extremist	menace so that Israel will be free to build more settlements or to eat up more Palestinian land . Today	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3496	955969028	955969028
3498	nyt_eng_19940821_0003	allies in the state Republican Party criticized McGreevey and his supporters for describing Schundler throughout the campaign as an ``	extremist	, '' saying that the Sept. 11 terrorist attacks had made clear the true definition of the term . ``	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=3497	956017360	956017360
